title	artist	length
1991	米津玄師	293
1999	羊文学	294
『バッハの旋律を夜に聴いたせいです。』	サカナクション	141
1 2 3 〜恋がはじまる〜	いきものがかり	309
115万キロのフィルム	Official髭男dism	202
1999	羊文学	164
1999 (English ver.)	羊文学	304
2億4千万の瞳 -エキゾチック・ジャパン-	郷 ひろみ	240
366日	HY	204
3月9日	レミオロメン	280
4月の雨	aiko	264
A Whole New World	MENA MASSOUD & NAOMI SCOTT	87
Aitai	加藤ミリヤ	254
Alright! ハートキャッチプリキュア!	池田彩	224
Automatic	宇多田ヒカル	240
Believe	Folder5	242
Best Friend	西野 カナ	327
Blessing	Halyosy	70
BON VOYAGE!	BON-BON BLANCO	293
BOY	King Gnu	127
BRAND NEW WORLD	D-51	275
Butter-Fly	和田光司	256
Butterfly	近江彼方(鬼頭明里)	0
Can't Wait 'Til Christmas	宇多田ヒカル	165
Catch the Moment	LiSA	301
CHANGE THE WORLD	V6	303
CHASE!	優木せつ菜(楠木ともり)	85
CHE.R.RY	YUI	150
CITRUS	柚羽まくら	158
damn	藤井風	262
Darling	V6	248
DIAMONDS	プリンセス プリンセス	272
Dream Fighter	Perfume	313
Esperanza	西野カナ	318
ETERNAL WIND～ほほえみは光る風の中～	森口博子	209
EYE	Kanaria	48
Family Song	星野源	332
Fight Together	安室奈美恵	266
First Love	宇多田ヒカル	171
Flavor Of Life	宇多田ヒカル	139
GETCHA!	Giga & KIRA	237
Gimme×Gimme	八王子P × Giga	242
GLAMOROUS SKY	NANA starring MIKA NAKASHIMA	284
God knows...	涼宮ハルヒ(平野綾)	133
GOLDEN GIRL	いきものがかり	298
Good-bye days	YUI for 雨音薫	173
Good-bye, Thank you	Kis-My-Ft2	341
grace	藤井風	302
HANABI	いきものがかり	165
Happiness	嵐	267
Happy Halloween	Junky	260
Happy Smile Again	いきものがかり	281
Heart Don't Stay Away	柚羽まくら	221
HELLO ～Paradise Kiss～	YUI	168
Hurrah!!	にじさんじ	257
I Believe	EXILE	306
I LOVE YOU	尾崎豊	262
I LOVE...	Official髭男dism	162
I wonder	Da-iCE	176
inside you	milet	191
INTERNET OVERDOSE	Aiobahn feat. KOTOKO	222
KICK BACK	米津玄師	204
KING	Kanaria	63
KISS KISS BANG BANG	いきものがかり	0
KissHug	aiko	208
KUGI☆ZUKE	柚羽まくら	167
l'aster	柚羽まくら	241
LA・LA・LA LOVE SONG	久保田利伸 with ナオミキャンベル	277
Laugh away	YUI	268
Lemon	米津玄師	182
Let’s go! スマイルプリキュア!	池田彩	222
Love So Sweet	嵐	267
Love Story	安室奈美恵	302
Love, Day After Tomorrow	倉木麻衣	63
Luv Bias	Kis-My-Ft2	194
M	プリンセス プリンセス	226
Mela!	緑黄色社会	166
MELODY	優木せつ菜(楠木ともり)	0
milk	aiko	265
Monster	嵐	136
Mr.Music	れるりり	0
MY BOY	Buono!	268
My Generation	YUI	163
NEO SKY, NEO MAP!	虹ヶ咲学園スクールアイドル同好会	283
NOW ON AIR	赤い公園	247
Oblivious	Kalafina	134
One Love	嵐	179
orion	中島美嘉	235
orion	米津玄師	191
Oz.	yama	99
PEACH	大塚愛	247
Perfect Day	supercell	143
PLAY THE GAME	ロードオブメジャー	250
POP STAR	平井堅	296
Pop Virus	星野源	200
Prayer X	King Gnu	130
Pretender	Official髭男dism	241
Previpter	柚羽まくら	180
Prisoner Of Love	宇多田ヒカル	315
Rain	YUI	164
Re:paint	アプリコットロールパン	202
Ready Steady	ギガP	0
Ref:rain	Aimer	199
ring your bell	Kalafina	170
Rolling Star	YUI	164
RollinStar	YUI	0
RPG	SEKAI NO OWARI	259
sabotage	緑黄色社会	82
SAKURA	いきものがかり	191
secret base 〜君がくれたもの〜	ZONE	174
Secret of my heart	倉木麻衣	271
Share The World	東方神起	218
Shout Baby	緑黄色社会	153
Silent Night	----	223
Silly	家入レオ	174
Sing	Goose house	332
slash	yama	115
SNOW AGAIN	いきものがかり	396
Snow halation	μ's	190
Solitude Rain	桜坂しずく(前田佳織里)	0
Sparkle×Sparkle	柚羽まくら	158
Stay Alive	エミリア(高橋李依)	293
Subtitle	Official髭男dism	164
SUMMER SONG	YUI	152
SUN	星野源	251
SWEET MEMORIES	松田聖子	158
Time After Time ～花舞う街で～	倉木麻衣	256
TOKIMEKI Runners	虹ヶ咲学園スクールアイドル同好会	273
TRUE LOVE	藤井フミヤ	80
TT	TWICE	214
Twinkle Twinkle Little Star	----	151
U.S.A.	DA PUMP	239
U&I	放課後ティータイム	231
Under the Sea	キャストと木村昴	192
us	milet	172
WAになっておどろう	V6	150
We Don't Talk Anymore	Charlie Puth feat. Selena Gomez	232
Winter Bells	倉木麻衣	289
Wishing	レム(水瀬いのり)	352
YELL	いきものがかり	210
Yes-No	オフコース	306
YOU	YUI	117
Your Best Friend	倉木麻衣	369
アイデア	星野源	278
アイドル	YOASOBI	112
アイネクライネ	米津玄師	193
アイのシナリオ	CHiCO with HoneyWorks	178
アイロニ	すこっぷ	130
アカシア	BUMP OF CHICKEN	141
アゲハ蝶	ポルノグラフィティ	250
あしたのそら	いきものがかり	235
あたしの向こう	aiko	338
あなたに恋をしてみました	chay	135
アナタボシ	MilkyWay	0
あの夢をなぞって	YOASOBI	142
アポトーシス	Official髭男dism	142
アポロ	ポルノグラフィティ	217
アメヲマツ、	美波	187
ありがとう	いきものがかり	257
ありったけのLove Song	ナオト・インティライミ	0
ありとう	いきものがかり	0
あわてんぼうのサンタクロース	----	209
アンコール	YOASOBI	131
アンダー・ザ・シー	キャストと木村昴	205
アンパンマンたいそう	ドリーミング	256
アンパンマンのマーチ	ドリーミング	131
いーあるふぁんくらぶ	みきとP	123
いつかのメリークリスマス	B'z	351
いつだって僕らは	いきものがかり	273
いつも何度でも	木村弓	225
いのちの名前	木村弓	196
ヴァンパイア	DECO*27	145
ウィーアー!	きただにひろし	143
うっせぇわ	Ado	133
うまぴょい伝説	ウマ娘	161
うるわしきひと	いきものがかり	150
